text,label
makanannya enak porsinya banyak tempatnya bersih pelayanan cepat,1
asyiknya produknya nyaman semoga makin sukses,1
barang tidak sesuai gambar kualitas buruk pengiriman lama sekali,0
produk original sesuai gambar awet dan nyaman dipakai sehari hari,1
masalahnya filmnya menyebalkan pengirimannya tidak ramah tidak rekomen,0
tempatnya recommended respon sellernya nyaman tidak menyesal beli,1
tempatnya lemot packingnya berantakan tidak sesuai harapan,0
filmnya seru alur cerita menarik akting pemainnya memukau,1
sayangnya respon sellernya parah sangat mengecewakan,0
sayang sekali produknya mengecewakan rugi besar,0
sayang sekali respon sellernya kasar barangnya tidak ramah buang buang uang,0
barang cepat sampai kualitas oke banget bakal order lagi nanti,1
masalahnya desainnya menyebalkan menyesal sekali,0
filmnya memuaskan aplikasinya bagus banget tidak menyesal beli,1
parahnya fiturnya lambat filmnya hambar kapok beli di sini,0
hotelnya bersih staf ramah lokasi strategis pemandangan indah,1
masalahnya makanannya tidak sesuai fiturnya menyebalkan jangan beli,0
saya sangat puas dengan produk ini kualitasnya melebihi harga,1
aplikasi berat sering force close data hilang sangat menyebalkan,0
alhamdulillah rasanya ramah tempatnya luar biasa mantap jiwa,1
barang sesuai deskripsi pengiriman cepat seller ramah recommended,1
kecewa karena rasanya buruk jangan beli,0
masalahnya fiturnya mahal tidak sebanding pelayanannya hambar,0
kecewa karena fiturnya menyebalkan produknya mengecewakan sangat kecewa,0
sayang sekali pelayanannya membosankan jangan beli,0
produk datang dalam keadaan rusak seller tidak mau bertanggung jawab,0
sayangnya barangnya parah zonk,0
untungnya filmnya joss recommended seller,1
tempat makan kotor pelayan tidak ramah harga tidak masuk akal,0
makanannya recommended pengirimannya luar biasa bakal beli lagi,1
filmnya membosankan alur berantakan akting kaku buang buang waktu,0
respon penjual ramah cepat tanggap proses order lancar sekali,1
asyiknya kualitasnya enak sekali makanannya worth it puas banget,1
masalahnya tempatnya tidak ramah respon sellernya kasar jangan beli,0
tempat makannya cozy harganya ramah di kantong rasanya juara,1
parahnya kualitasnya lemot rasanya mengecewakan rugi besar,0
senang sekali makanannya enak sekali respon sellernya melebihi harapan lanjutkan,1
rasanya tidak ramah fiturnya buruk menyesal sekali,0
filmnya jelek banget kapok beli di sini,0
saya kecewa berat produk palsu tidak sesuai deskripsi sama sekali,0
puas karena aplikasinya oke punya filmnya worth it sangat direkomendasikan,1
mantapnya pelayanannya oke punya produknya recommended the best,1
puas karena packingnya enak sekali pengirimannya rapi semoga makin sukses,1
untungnya produknya mantap barangnya cepat,1
asyiknya rasanya worth it fiturnya oke punya bakal beli lagi,1
filmnya rapi puas banget,1
aplikasinya sering error lemot dan boros baterai sangat mengganggu,0
masalahnya packingnya lama banget bikin kesal,0
puas karena pelayanannya oke punya pokoknya puas,1
pengiriman molor seminggu packing asal asalan barang penyok,0
produknya sangat membantu harganya rapi akan langganan,1
pelayanan toko sangat profesional dan memuaskan tidak mengecewakan,1
untungnya packingnya luar biasa sangat direkomendasikan,1
asyiknya pengirimannya joss tidak menyesal beli,1
kecewa karena harganya tidak original pelayanan perlu diperbaiki,0
kualitasnya rapi semoga makin sukses,1
puas karena pelayanannya bagus banget fiturnya worth it suka sekali,1
buruknya makanannya berantakan tempatnya murahan buang buang uang,0
parahnya fiturnya lambat rugi besar,0
pengirimannya ramah mantap jiwa,1
buruknya pengirimannya error terus menyesal sekali,0
parahnya filmnya parah zonk,0
barangnya cepat desainnya bagus banget bakal beli lagi,1
pelayanannya memuaskan puas banget,1
kursusnya membingungkan materi tidak lengkap pengajar tidak jelas,0
untungnya respon sellernya sesuai ekspektasi pokoknya puas,1
barang cacat tidak bisa dipakai minta tukar malah dipersulit,0
hotel kotor kamar bau ac rusak staf cuek pelayanan mengecewakan,0
pengiriman salah alamat customer service tidak responsif parah,0
makanannya hambar porsi sedikit harga mahal pelayanan lambat,0
untungnya kualitasnya rapi harganya enak sekali semoga makin sukses,1
kecewa karena produknya lambat sangat mengecewakan,0
sayangnya filmnya tidak sesuai jangan beli,0
pengiriman super cepat packing aman barang mulus tanpa cacat,1
masalahnya harganya tidak sesuai tempatnya menyebalkan sangat kecewa,0
pengirimannya worth it packingnya joss recommended seller,1
sayangnya tempatnya mengecewakan jangan beli,0
alhamdulillah makanannya keren bakal beli lagi,1
kursusnya jelas materinya lengkap pengajarnya sabar sangat membantu,1
parahnya rasanya lama banget harganya jelek banget pelayanan perlu diperbaiki,0
alhamdulillah fiturnya keren akan langganan,1
kecewa karena respon sellernya error terus rugi besar,0
kualitas produk sangat bagus harga terjangkau pelayanan memuaskan,1
alhamdulillah aplikasinya luar biasa makanannya enak sekali sangat direkomendasikan,1
asyiknya makanannya bagus banget recommended seller,1
kecewa karena rasanya cacat minta refund,0
buruknya barangnya mengecewakan harganya cacat minta refund,0
parahnya respon sellernya kasar tempatnya hambar tidak sesuai harapan,0
kecewa karena pengirimannya lama banget tidak akan kembali lagi,0
parahnya fiturnya kasar minta refund,0
untungnya rasanya sangat membantu sangat direkomendasikan,1
mantapnya filmnya mantap akan langganan,1
sayang sekali harganya parah kualitasnya lambat pelayanan perlu diperbaiki,0
alhamdulillah pelayanannya enak sekali rasanya sangat membantu five stars,1
asyiknya makanannya oke punya bakal beli lagi,1
senang sekali kualitasnya enak sekali desainnya worth it five stars,1
asyiknya rasanya top markotop pelayanannya memuaskan terima kasih banyak,1
senang sekali barangnya sangat membantu,1
produk tidak awet baru sebentar sudah rusak kualitas murahan,0
mantapnya fiturnya berkualitas pengirimannya bagus banget the best,1
sayang sekali kualitasnya kasar pengirimannya murahan sangat mengecewakan,0
untungnya packingnya luar biasa recommended seller,1
alhamdulillah makanannya nyaman recommended seller,1
asyiknya pengirimannya lengkap barangnya oke punya,1
packingnya berantakan produknya error terus pelayanan perlu diperbaiki,0
senang sekali barangnya recommended the best,1
parahnya barangnya mengecewakan makanannya kasar tidak akan kembali lagi,0
mantapnya packingnya lengkap barangnya top markotop five stars,1
alhamdulillah fiturnya oke punya packingnya worth it recommended seller,1
makanannya tidak sesuai menyesal sekali,0
parahnya aplikasinya tidak ramah fiturnya jelek banget bikin kesal,0
untungnya pelayanannya keren the best,1
